篇號,賦家,賦篇,段落編號,句組編號,句編號,原始句,tokens,matched_file,matched_index,matched,similarity
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,1,1,我皇則銅渾而有倫,我皇 則 銅渾 而 有倫,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,1,2,應木德之惟新,應 木德 之 惟新,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,2,3,展東郊之盛禮,展 東郊 之 盛禮,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,2,4,出左个而迎春,出 左个 而 迎春,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,3,5,所以先庚有秩,所以 先庚 有秩,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,3,6,舊典攸遵,舊典 攸遵,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,4,7,將欽承上帝,將 欽承 上帝,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,4,8,而敬授於下人者也,而 敬授 於 下人 者也,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,5,9,於是法駕鏗鏘,於是 法駕 鏗鏘,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,5,10,嚴城翕習,嚴城 翕習,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,6,11,見太史之先謁,見 太史 之 先謁,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,6,12,知勾芒之已及,知 勾芒 之 已及,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,13,都人士女,都人 士女,文選/KR4h0001_001,355,都人士女,1.0
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,13,都人士女,都人 士女,文選/KR4h0001_004,1376,都人士女,1.0
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,13,都人士女,都人 士女,文選/KR4h0001_040,1604,都人士女,1.0
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,14,候彩仗以駿奔,候 彩仗 以 駿奔,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,15,文物聲明,文物 聲明,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,16,擁彩華而鱗集,擁 彩華 而 鱗集,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,8,17,莫不聽玉漏而雷動,莫不 聽 玉漏 而 雷動,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,8,18,赴靈壇而嶽立,赴 靈壇 而 嶽立,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,9,19,於是闢重門,於是 闢 重門,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,9,20,遵九逵,遵 九逵,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,10,21,服蒼玉,服 蒼玉,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,10,22,載青旗,載 青旗,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,11,23,草木之萌,草木 之萌,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,11,24,必因茲而動矣,必 因茲 而 動矣,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,11,25,原野之蟄,原野 之蟄,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,11,26,亦自此而啟之,亦 自此 而 啟之,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,12,27,展聖容之穆穆,展 聖容 之 穆穆,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,12,28,引天步之遲遲,引 天步 之 遲遲,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,13,29,有翼有嚴,有翼 有嚴,毛詩/KR1c0001_017,1115,有嚴有翼,1.0
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,13,30,不徐不疾,不徐 不疾,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,14,31,百辟陪乘,百辟 陪乘,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,14,32,千官扈蹕,千官 扈蹕,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,15,33,遵皇衢而卻轉,遵 皇衢 而 卻轉,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,15,34,度青門而迥出,度 青門 而 迥出,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,16,35,八鑾振響,八鑾 振響,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,16,36,隨解凍之和風,隨 解凍 之 和風,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,16,37,五輅騰輝,五輅 騰輝,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,16,38,映麗天之遲日,映 麗天 之 遲日,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,17,39,東郊之中,東郊 之中,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,17,40,肅穆會同,肅穆 會同,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,18,41,俎豆莘莘而駭目,俎豆 莘莘 而 駭目,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,18,42,衣冠楚楚而鞠躬,衣冠 楚楚 而 鞠躬,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,19,43,祥雲為之郁靄,祥雲 為之 郁靄,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,19,44,佳氣為之蔥蘢,佳氣 為之 蔥蘢,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,20,45,青帝克禋,青帝 克禋,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,20,46,必來顧而來享,必 來顧 而 來享,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,20,47,玄穹廣覆,玄穹 廣覆,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,20,48,何自西而自東,何 自西 而 自東,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,6,21,49,當是時也,當 是時也,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,6,21,50,四遐縱觀,四遐 縱觀,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,6,21,51,五福來備,五福 來備,,,,
