篇號,賦家,賦篇,段落編號,句組編號,句編號,原始句,tokens,matched_file,matched_index,matched,similarity
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,1,1,我皇則銅渾而有倫,銅渾,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,1,1,我皇則銅渾而有倫,有倫,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,1,2,應木德之惟新,木德,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,1,2,應木德之惟新,惟新,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,2,3,展東郊之盛禮,東郊,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,2,3,展東郊之盛禮,盛禮,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,2,4,出左个而迎春,左个,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,2,4,出左个而迎春,迎春,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,3,5,所以先庚有秩,先庚,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,3,5,所以先庚有秩,有秩,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,3,6,舊典攸遵,舊典,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,3,6,舊典攸遵,攸遵,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,4,7,將欽承上帝,欽承,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,4,7,將欽承上帝,上帝,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,4,8,而敬授於下人者也,敬授,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,1,4,8,而敬授於下人者也,下人,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,5,9,於是法駕鏗鏘,法駕,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,5,9,於是法駕鏗鏘,鏗鏘,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,5,10,嚴城翕習,嚴城,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,5,10,嚴城翕習,翕習,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,6,11,見太史之先謁,太史,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,6,11,見太史之先謁,先謁,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,6,12,知勾芒之已及,勾芒,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,6,12,知勾芒之已及,已及,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,13,都人士女,都人,文選/KR4h0001_001,355,都人士女,1.0
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,13,都人士女,士女,文選/KR4h0001_001,355,都人士女,1.0
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,13,都人士女,都人,文選/KR4h0001_004,1376,都人士女,1.0
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,13,都人士女,士女,文選/KR4h0001_004,1376,都人士女,1.0
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,13,都人士女,都人,文選/KR4h0001_040,1604,都人士女,1.0
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,13,都人士女,士女,文選/KR4h0001_040,1604,都人士女,1.0
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,14,候彩仗以駿奔,彩仗,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,14,候彩仗以駿奔,駿奔,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,15,文物聲明,文物,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,15,文物聲明,聲明,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,16,擁彩華而鱗集,彩華,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,7,16,擁彩華而鱗集,鱗集,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,8,17,莫不聽玉漏而雷動,莫不,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,8,17,莫不聽玉漏而雷動,玉漏,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,8,17,莫不聽玉漏而雷動,雷動,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,8,18,赴靈壇而嶽立,靈壇,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,2,8,18,赴靈壇而嶽立,嶽立,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,9,19,於是闢重門,重門,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,9,20,遵九逵,九逵,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,10,21,服蒼玉,蒼玉,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,10,22,載青旗,青旗,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,11,23,草木之萌,草木,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,11,23,草木之萌,之萌,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,11,24,必因茲而動矣,因茲,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,11,25,原野之蟄,原野,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,11,25,原野之蟄,之蟄,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,11,26,亦自此而啟之,自此,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,11,26,亦自此而啟之,啟之,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,12,27,展聖容之穆穆,聖容,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,12,27,展聖容之穆穆,穆穆,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,12,28,引天步之遲遲,天步,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,3,12,28,引天步之遲遲,遲遲,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,13,29,有翼有嚴,有翼,毛詩/KR1c0001_017,1115,有嚴有翼,1.0
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,13,29,有翼有嚴,有嚴,毛詩/KR1c0001_017,1115,有嚴有翼,1.0
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,13,30,不徐不疾,不徐,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,13,30,不徐不疾,不疾,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,14,31,百辟陪乘,百辟,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,14,31,百辟陪乘,陪乘,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,14,32,千官扈蹕,千官,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,14,32,千官扈蹕,扈蹕,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,15,33,遵皇衢而卻轉,皇衢,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,15,33,遵皇衢而卻轉,卻轉,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,15,34,度青門而迥出,青門,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,15,34,度青門而迥出,迥出,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,16,35,八鑾振響,八鑾,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,16,35,八鑾振響,振響,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,16,36,隨解凍之和風,解凍,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,16,36,隨解凍之和風,和風,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,16,37,五輅騰輝,五輅,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,16,37,五輅騰輝,騰輝,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,16,38,映麗天之遲日,麗天,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,4,16,38,映麗天之遲日,遲日,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,17,39,東郊之中,東郊,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,17,39,東郊之中,之中,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,17,40,肅穆會同,肅穆,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,17,40,肅穆會同,會同,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,18,41,俎豆莘莘而駭目,俎豆,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,18,41,俎豆莘莘而駭目,莘莘,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,18,41,俎豆莘莘而駭目,駭目,,,,
19,王起,東郊迎春賦以「立春之日備禮東郊」為韻,5,18,42,衣冠楚楚而鞠躬,衣冠,,,,
